U_lo_mps,U_hi_mps,U_center_mps,f_flood,f_ebb,f_total
0.0,0.1,0.05,0.05433365209075893,0.052508041380509435,0.10684169347126837
0.1,0.2,0.15000000000000002,0.05711553507780579,0.05285577675389029,0.10997131183169609
0.2,0.30000000000000004,0.25,0.061896896461792576,0.052594975223854645,0.11449187168564723
0.30000000000000004,0.4,0.35000000000000003,0.05589846127097279,0.05520299052421108,0.11110145179518387
0.4,0.5,0.45,0.06946014083282621,0.05963661653481701,0.12909675736764323
0.5,0.6000000000000001,0.55,0.09510562461966443,0.074241502216813,0.16934712683647743
0.6000000000000001,0.7000000000000001,0.6500000000000001,0.0833695557680605,0.07658871598713379,0.15995827175519428
0.7000000000000001,0.8,0.75,0.012518473441710858,0.05746327045118665,0.0699817438928975
0.8,0.9,0.8500000000000001,0.0006085369034165,0.025906285316873858,0.02651482222029036
0.9,1.0,0.95,0.0,0.002608015300356429,0.002608015300356429
1.0,1.1,1.05,0.0,8.693384334521429e-05,8.693384334521429e-05
1.1,1.2000000000000002,1.1500000000000001,0.0,0.0,0.0
1.2000000000000002,1.3,1.25,0.0,0.0,0.0
1.3,1.4000000000000001,1.35,0.0,0.0,0.0
1.4000000000000001,1.5,1.4500000000000002,0.0,0.0,0.0
1.5,1.6,1.55,0.0,0.0,0.0
1.6,1.7000000000000002,1.6500000000000001,0.0,0.0,0.0
1.7000000000000002,1.8,1.75,0.0,0.0,0.0
1.8,1.9000000000000001,1.85,0.0,0.0,0.0
1.9000000000000001,2.0,1.9500000000000002,0.0,0.0,0.0
2.0,2.1,2.05,0.0,0.0,0.0
2.1,2.2,2.1500000000000004,0.0,0.0,0.0
2.2,2.3000000000000003,2.25,0.0,0.0,0.0
2.3000000000000003,2.4000000000000004,2.3500000000000005,0.0,0.0,0.0
2.4000000000000004,2.5,2.45,0.0,0.0,0.0
2.5,2.6,2.55,0.0,0.0,0.0
2.6,2.7,2.6500000000000004,0.0,0.0,0.0
2.7,2.8000000000000003,2.75,0.0,0.0,0.0
2.8000000000000003,2.9000000000000004,2.8500000000000005,0.0,0.0,0.0
2.9000000000000004,3.0,2.95,0.0,0.0,0.0
3.0,3.1,3.05,0.0,0.0,0.0
3.1,3.2,3.1500000000000004,0.0,0.0,0.0
3.2,3.3000000000000003,3.25,0.0,0.0,0.0
3.3000000000000003,3.4000000000000004,3.3500000000000005,0.0,0.0,0.0
3.4000000000000004,3.5,3.45,0.0,0.0,0.0
3.5,3.6,3.55,0.0,0.0,0.0
3.6,3.7,3.6500000000000004,0.0,0.0,0.0
3.7,3.8000000000000003,3.75,0.0,0.0,0.0
3.8000000000000003,3.9000000000000004,3.8500000000000005,0.0,0.0,0.0
3.9000000000000004,4.0,3.95,0.0,0.0,0.0
